Europe Brent Spot Price FOB
https://www.eia.gov/dnav/pet/hist/RBRTEd.htm
14:35:14 GMT+0200 (Central European Summer Time)
Data Source: Thomson Reuters
Day,Europe Brent Spot Price FOB  Dollars per Barrel
05/15/2023,75.46
05/12/2023,74.54
05/11/2023,75.32
05/10/2023,76.7
05/9/2023,77.76
05/5/2023,75.85
05/4/2023,73
05/3/2023,72.91
05/2/2023,76.71
04/28/2023,81.32
04/27/2023,80.11
04/26/2023,79.19
04/25/2023,82.13
04/24/2023,84.23
04/21/2023,83.36
04/20/2023,83.29
04/19/2023,85.34
04/18/2023,85.48
04/17/2023,85.63
04/14/2023,87.31
04/13/2023,86.51
04/12/2023,88.31
04/11/2023,87.32
04/6/2023,86.56
04/5/2023,85.89
04/4/2023,85.7
04/3/2023,85.81
03/31/2023,79.19
03/30/2023,78.45
03/29/2023,77.51
03/28/2023,78.07
03/27/2023,76.8
03/24/2023,73.63
03/23/2023,74.31
03/22/2023,76.08
03/21/2023,74.78
03/20/2023,72.42
03/17/2023,71.03
03/16/2023,73.12
03/15/2023,74.3
03/14/2023,76.77
03/13/2023,79.67
03/10/2023,82.3
03/9/2023,81
03/8/2023,82.1
03/7/2023,83.03
03/6/2023,85.86
03/3/2023,85.74
03/2/2023,84.15
03/1/2023,83.68
02/28/2023,83.21
02/27/2023,81.24
02/24/2023,82.31
02/23/2023,82.08
02/22/2023,79.55
02/21/2023,82.14
02/20/2023,82.79
02/17/2023,81.97
02/16/2023,83.84
02/15/2023,84.11
02/14/2023,84.96
02/13/2023,85.98
02/10/2023,85.46
02/9/2023,83.46
02/8/2023,84.17
02/7/2023,82.92
02/6/2023,80.48
02/3/2023,78.85
02/2/2023,80.57
02/1/2023,81.61
01/31/2023,83.42
01/30/2023,84.9
01/27/2023,85.36
01/26/2023,86.29
01/25/2023,85.08
01/24/2023,85.25
01/23/2023,87.54
01/20/2023,86.96
01/19/2023,85.08
01/18/2023,83.78
01/17/2023,84.38
01/16/2023,82.65
01/13/2023,83.43
01/12/2023,82.59
01/11/2023,81.11
01/10/2023,78.4
01/9/2023,77.5
01/6/2023,76.41
01/5/2023,76.73
01/4/2023,75.31
01/3/2023,80.36
12/30/2022,82.82
12/29/2022,80.96
12/28/2022,81.7
12/23/2022,82.45
12/22/2022,79.58
12/21/2022,80.25
12/20/2022,79.45
12/19/2022,81.66
12/16/2022,80.2
12/15/2022,82.34
12/14/2022,83.33
12/13/2022,80.14
12/12/2022,78.3
